role,skill,weight
Product Manager,Roadmapping,5
Product Manager,Prioritization,5
Product Manager,JIRA,4
Product Manager,SQL,3
Product Manager,A/B Testing,3
Product Manager,Analytics,4
Product Manager,User Research,4
Product Manager,Presentation,4
Product Manager,PRD,4
Product Analyst,SQL,5
Product Analyst,Excel,5
Product Analyst,Tableau,4
Product Analyst,Product Analytics,5
Product Analyst,Experiment Design,4
Product Analyst,Amplitude,4
Product Analyst,Mixpanel,4
Product Analyst,A/B Testing,4
Product Analyst,Python,2
Product Analyst,Seaborn,2
Product Designer (UX/UI),Figma,5
Product Designer (UX/UI),User Research,5
Product Designer (UX/UI),Wireframing,5
Product Designer (UX/UI),Prototyping,5
Product Designer (UX/UI),Design Systems,4
Product Designer (UX/UI),Usability Testing,4
Product Designer (UX/UI),Accessibility,4
Product Designer (UX/UI),Visual Design,4
Marketing Analyst,SQL,4
Marketing Analyst,Excel,5
Marketing Analyst,Google Analytics,5
Marketing Analyst,Looker,3
Marketing Analyst,Tableau,3
Marketing Analyst,A/B Testing,4
Marketing Analyst,Attribution,4
Marketing Analyst,Facebook Ads,3
Marketing Analyst,Python,2
Marketing Analyst,BigQuery,3
Marketing Analyst,PowerPoint,2
Financial Analyst,Excel,5
Financial Analyst,Financial Modeling,5
Financial Analyst,Forecasting,4
Financial Analyst,SQL,3
Financial Analyst,PowerPoint,4
Financial Analyst,Accounting,4
Financial Analyst,Reporting,4
Financial Analyst,Budgeting,4
Business Analyst,Excel,5
Business Analyst,Stakeholder Management,5
Business Analyst,Requirements Gathering,5
Business Analyst,SQL,3
Business Analyst,Process Mapping,4
Business Analyst,Documentation,4
Business Analyst,Presentation,4
Business Analyst,JIRA,3
Business Analyst,KPIs,4
Solutions Architect,AWS,5
Solutions Architect,Architecture,5
Solutions Architect,APIs,4
Solutions Architect,Databases,4
Solutions Architect,Security,4
Solutions Architect,Networking,4
Solutions Architect,Pre-sales,4
Solutions Architect,Diagrams,4
Solutions Architect,Terraform,3
Solutions Architect,Kubernetes,3
Solutions Architect,Git,2
Solutions Architect,Linear,3
